"","x"
"1","AVP"
"2","OXT"
"3","FAM216B"
"4","ADGB"
"5","HCRT"
"6","LMX1B"
"7","CCDC33"
"8","FAM92B"
"9","AC104809.3"
"10","CCDC60"
"11","PDYN"
"12","C4orf22"
"13","C1orf158"
"14","AC104809.2"
"15","PMCH"
"16","PIH1D3"
"17","CDHR4"
"18","TUBA4B"
"19","DNAH3"
"20","XIST"
"21","HDC"
"22","SST"
"23","SLC47A2"
"24","C11orf88"
"25","C9orf171"
"26","C20orf85"
"27","C9orf117"
"28","PITX2"
"29","MYLK3"
"30","GHRH"
"31","NTS"
"32","ENSG00000261788"
"33","SLC17A6"
"34","LRRC71"
"35","SLC5A7"
"36","GLRA3"
"37","SCGN"
"38","FAM81B"
"39","SPAG6"
"40","LRRC74B"
"41","TH"
"42","CPA1"
"43","CFAP45"
"44","TTC6"
"45","GPR144"
"46","DNAI2"
"47","MAP3K19"
"48","GSTM1"
"49","SLC6A3"
"50","SIX6"
"51","PVALB"
"52","CCDC42B"
"53","TLX3"
"54","LINC00261"
"55","TRPM1"
"56","WDR63"
"57","OTP"
"58","TESPA1"
"59","ADAMTS18"
"60","BMP3"
"61","BARHL1"
"62","LBX1-AS1"
"63","GABRA6"
"64","FOSB"
"65","LHX9"
"66","CATSPERD"
"67","EFCAB1"
"68","PGC"
"69","TTR"
"70","LRRC18"
"71","ZBED2"
"72","FOXG1"
"73","KRT13"
"74","NPAS4"
"75","PENK"
"76","CNGB1"
"77","P2RX2"
"78","SPAG17"
"79","ENSG00000273087"
"80","CSN1S1"
"81","DCLK3"
"82","AC009014.3"
"83","CAMKV"
"84","LRTM2"
"85","TUNAR"
"86","ZP2"
"87","CCDC114"
"88","TEKT1"
"89","RP11-438B23.2"
"90","SNTN"
"91","CLDN19"
"92","C22orf42"
"93","PRL"
"94","CALB1"
"95","CHRM5"
"96","CRH"
"97","TRH"
"98","NR5A1"
"99","CPNE4"
"100","ATP4B"
"101","PRR35"
"102","LBX1"
"103","FOXA1"
"104","LL0XNC01-16G2.1"
"105","CASR"
"106","FOXA2"
"107","LRRC46"
"108","TAC1"
"109","LINC01007"
"110","LINC00507"
"111","KB-1517D11.4"
"112","C11orf87"
"113","RP5-912I13.1"
"114","AF003625.3"
"115","RP11-356C4.5"
"116","SYNPR"
"117","VWA5B1"
"118","NPY"
"119","DNAAF3"
"120","MAPK15"
"121","NEUROD1"
"122","NTSR1"
"123","ANKRD34B"
"124","HCN4"
"125","CHRM2"
"126","EBF3"
"127","GPR50"
"128","CCNA1"
"129","CCKAR"
"130","HTR5A"
"131","CHRNA2"
"132","ENSG00000266045"
"133","AGR3"
"134","PNOC"
"135","TTC29"
"136","CHGA"
"137","KCNS2"
"138","LGR6"
"139","RP11-547D24.1"
"140","EGR4"
"141","WBSCR28"
"142","KRT31"
"143","GUCA1C"
"144","RP11-100M12.3"
"145","CD164L2"
"146","LINGO2"
"147","NEUROD6"
"148","EBF2"
"149","ISL1"
"150","CXCL13"
"151","ENSG00000204466"
"152","EGFL6"
"153","PAX5"
"154","MUC7"
"155","SCGB2A1"
"156","TEKT4"
"157","ENSG00000184674"
"158","MIR124-2HG"
"159","FAM166B"
"160","FAM163A"
"161","CCBE1"
"162","LPPR3"
"163","BARHL2"
"164","PAX2"
"165","FAM163B"
"166","CACNG3"
"167","SYT5"
"168","GRIN1"
"169","KCNC2"
"170","TTLL10"
"171","CCDC37"
"172","CLIC6"
"173","EGR1"
"174","OTOF"
"175","COL6A5"
"176","FAM71E2"
"177","GNG13"
"178","MTND4P12"
"179","SLC22A8"
"180","NLRP4"
"181","SLC22A31"
"182","FEZF1"
"183","FIBCD1"
"184","LINC01551"
"185","SERPINA3"
"186","PZP"
"187","GABRA4"
"188","LPAR3"
"189","GLRA2"
"190","SLC35D3"
"191","NEUROD2"
"192","GAD2"
"193","AGBL2"
"194","HTR5A-AS1"
"195","TNNT2"
"196","SLC35F4"
"197","MARCH4"
"198","NPTX1"
"199","CARTPT"
"200","C1orf87"
"201","SERTM1"
"202","OPRK1"
"203","COL2A1"
"204","FADS6"
"205","ROPN1L"
"206","KCNV1"
"207","DNAH11"
"208","SPATA31C1"
"209","LRRC38"
"210","CALCR"
"211","VWA3B"
"212","CTD-2023N9.3"
"213","SLC32A1"
"214","C9orf135"
"215","DDC"
"216","ANKRD20A19P"
"217","ALOX15B"
"218","NRK"
"219","NKX2-1"
"220","GH1"
"221","GAL"
"222","SLC27A6"
"223","HLA-DRB6"
"224","OTX2"
"225","SIX3"
"226","CLPS"
"227","SPATS1"
"228","PARPBP"
"229","LIPF"
"230","CFAP52"
"231","SLC17A7"
"232","RP11-678G14.3"
"233","CCDC108"
"234","FAM153B"
"235","CHRM3"
"236","INA"
"237","NTF3"
"238","DMRT3"
"239","CSF3"
"240","SLC30A3"
"241","PRKCG"
"242","TCERG1L"
"243","C1QL3"
"244","RIBC2"
"245","PITX3"
"246","ENTHD1"
"247","ANKRD30B"
"248","SYT4"
"249","SYT1"
"250","TBR1"
"251","RET"
"252","CYP1A1"
"253","KRT4"
"254","ATP1A3"
"255","CALY"
"256","FNDC1"
"257","GABRG2"
"258","NGB"
"259","LINC00890"
"260","SNX31"
"261","ENSG00000183473"
"262","ANKRD22"
"263","SYT13"
"264","HOXB8"
"265","C14orf39"
"266","GABRA1"
"267","NWD2"
"268","VGF"
"269","STC1"
"270","PCDH8"
"271","LPO"
"272","FAR2P4"
"273","STAP1"
"274","PTPRR"
"275","SATB2-AS1"
"276","ENSG00000132130"
"277","ENSG00000006074"
"278","PTGER3"
"279","CDH15"
"280","LRRC9"
"281","FSHB"
"282","GDA"
"283","TMEM130"
"284","MYH4"
"285","IRX5"
"286","LINC01561"
"287","LINC00473"
"288","SLC27A2"
"289","CTA-929C8.8"
"290","GABBR2"
"291","SLC12A5"
"292","VGLL2"
"293","RASSF6"
"294","NMU"
"295","KCNH6"
"296","CLPSL1"
"297","CLDN3"
"298","CRYM"
"299","IL2RA"
"300","CAMK1G"
